finished,QID1,QID2,QID3,QID5,QID6,QID8,QID10,QID11,QID12,QID14,QID13,QID24,QID9,QID15_TEXT,QID16_TEXT,QID17,QID18,QID19,QID20,QID22
Finished,Q1 - What is your class year?,Q2 - What is your race or ethnicity?,Q3 - What is your gender?,Q5 - Are you in any of the following types of groups?,Q6 - Are you in Pratt or Trinity?,Q8 - Which presidential candidate do you intend to vote for?,Q10 - Which political party do you most align with?,Q11 - How knowledgeable do you consider yourself about politics?,Q12 - Do you plan to vote?,Q14 - Are you registered to vote?,Q13 - In which state are you registered to vote?,Q24 - Which candidate for US Senator from North Carolina do you intend to vote fo...,Q9 - Which candidate for North Carolina governor do you intend to vote for?,Q15 - What is one word that comes to mind when you think of Hillary Clinton?,Q16 - What is one word that comes to mind when you think of Donald Trump?,Q17 - Do you have friends that support a different candidate for president that y...,Q18 - Have you unfriended someone on Facebook because of their political beliefs?,Q19 - Who do you think will win the election?,Q20 - Do you think you will be voting for the same candidate for president as you...,Q22 - How many Duke Football games do you think you will have attended by the end...
TRUE,2018,White,Female,Sorority,Trinity,Hillary Clinton,Democratic,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,Undecided,Undecided,Experienced,Idiot,No,No,Hillary Clinton,Definitely yes,0
TRUE,2017,White,Female,Sorority,Trinity,Hillary Clinton,Democratic,Moderately knowledgeable,Definitely yes,Yes,Illinois ,,,Strong,Garbage,Yes,No,Hillary Clinton,Probably yes,0
FALSE,2020,White,Male,None,Trinity,Donald Trump,Republican,Extremely knowledgeable,Definitely yes,Yes,Florida ,,,untrustworthy,bombastic,Yes,No,Hillary Clinton,Definitely yes,5
FALSE,2018,White,Female,Independent House,Trinity,Hillary Clinton,Democratic,Very knowledgeable,Definitely yes,Yes,North Carolina ,,,,,,,,,
FALSE,2020,Asian,Female,None,Trinity,Hillary Clinton,Democratic,Moderately knowledgeable,Definitely yes,Yes,North Carolina ,,,,,,,,,
FALSE,2018,White,Male,Fraternity,Trinity,Do not intend to vote,Democratic,Moderately knowledgeable,Probably yes,Yes,North Carolina ,,,,,,,,,
TRUE,2018,Asian,Male,Independent House,Pratt,Hillary Clinton,Democratic,Slightly knowledgeable,Definitely yes,Yes,North Carolina ,Undecided,Roy Cooper,Politician,Insane,No,No,Hillary Clinton,Probably yes,0
TRUE,2018,White,Male,Independent House,Trinity,Hillary Clinton,Democratic,Very knowledgeable,Definitely yes,Yes,North Carolina ,Undecided,Roy Cooper,tolerable,:(,Yes,No,Hillary Clinton,Probably yes,1
FALSE,2020,Asian,Female,None,Pratt,,,,,,,,,,,,,,,
